station_id,t
183,7
260,7
1025,7
1821,7
1823,7
1024,7
1721,7
1767,7
289,7
1748,7
1025,8
1038,8
247,8
1768,8
1050,8
1756,8
1765,8
1743,8
1763,8
258,8
259,9
1051,9
1744,9
249,9
1019,9
1757,9
1767,9
1768,9
1745,9
1748,9
183,10
1823,10
1024,10
1039,10
1767,10
1756,10
289,10
1763,10
258,10
1764,10
260,11
1025,11
1038,11
1102,11
249,11
1024,11
1721,11
1768,11
262,11
1748,11
260,12
1051,12
1720,12
1744,12
249,12
1743,12
289,12
189,12
258,12
1745,12
260,13
296,13
1098,13
1024,13
1039,13
1050,13
1756,13
258,13
1748,13
1749,13
259,14
260,14
1038,14
1808,14
247,14
1050,14
1738,14
1743,14
1749,14
183,15
296,15
1744,15
1821,15
1721,15
1757,15
1767,15
189,15
1763,15
258,15
259,16
1025,16
1092,16
1823,16
247,16
1039,16
1721,16
1756,16
189,16
1763,16
1102,17
1808,17
1821,17
1757,17
1050,17
1756,17
289,17
189,17
1745,17
1764,17
183,18
260,18
1025,18
1038,18
1092,18
1823,18
247,18
249,18
1024,18
262,18
